corta,clave,descripcion,presentacion,tipo
SC-0000127,SC-0000127,AGUJA PARA RAQUIANESTESIA O BLOQUEO SUBARACNOIDEO TIPO WHITACRE MANDRIL CON BOTON INDICADOR DE ORIENTACION DE BISEL Y CONECTOR LUER LOCK HEMBRA TRANSLUCIDO ESTERIL Y DESECHABLE  LONGITUD 8.7 A 9.1 CM CALIBRE 27 G. PIEZA.,PIEZA,True
600402341,060.040.2341,AGUJA PARA RAQUIANESTESIA O PUNCION LUMBAR. CON MANDRIL. REESTERILIZABLES. TIPO GREEN. LONG. 11.5 CMS. CALIBRE 26 G. PIEZA.,PIEZA.,True
600403711,060.040.3711,AGUJAS HIPODÉRMICAS CON PABELLÓN LUER-LOCK HEMBRA DE PLÁSTICO DESECHABLES. LONGITUD 32 MM. CALIBRE 20 G. ENVASE CON 100 AGUJAS,ENVASE CON 100 PZAS.                                                                                                                                ,True
SC-0000126,SC-0000126,"AGUJAS PARA BIOPSIA, DESECHABLES. TIPO TRUCUT. LONGITUD 15.20 CM, CALIBRE 14 G. PIEZA. (AGUJA AUTOMÁTICA PARA BIOPSIA DE TEJIDO BLANDO, TAMAÑO 14 GX 11 CM, CON AGUJA GUÍA COXIAL). ENVASE",PIEZA,True
SC-0000125,SC-0000125,"AGUJAS PARA LA TOMA Y RECOLECCIÓN DE SANGRE, ENVASE CON 100 PIEZAS",ENVACE DE 100 PIEZAS,True
5132,010.000.5132.00,ALANTOÍNA ALQUITRÁN DE HULLA Y CLIOQUINOL CREMA 0.2 G/100 G/ 5 G/100 G Y 3 G/100 G,ENVASE CON 60 G.,False
831,010.000.0831.00,ALANTOÍNA Y ALQUITRÁN DE HULLA Suspensión dérmica 20 mg/ml y 9.4 mg/ ml Envase con 120 ml,Envase con 120 ml. ,False
1345,010.000.1345.00,ALBENDAZOL Suspensión  oral 400 mg/20 ml Envase con 20 ml,Envase con 20 ml. ,False
1347,010.000.1347.00,ALBENDAZOL Tableta 200 mg 100 tabletas,Envase con 100 tabletas. ,False
1344,010.000.1344.00,ALBENDAZOL Tableta 200 mg 2 tabletas,Envase con 2 tabletas. ,False
600660773,060.066.0773,ALCOHOL DESNATURALIZADO ENVASE CON 20 L.,ENVASE CON 20 L,True
600660039,060.066.0039,ALCOHOL DESNATURALIZADO. ENVASE CON 1 LITRO,ENVASE CON 1 L.,True
2172,010.000.2172.00,ALCOHOL POLIVINÍLICO Solución oftálmica 14 mg/ml Gotero integral con 15 ml,Envase con gotero integral con 15 ml. ,False
600580153,060.058.0153,ALGODÓN EN LAMINA. ENROLLADO O PLISADO. ENVASE CON 300 GR.,ENVASE CON 300 G,True
609040100,060.904.0100,ALGODÓN TORUNDA ENVASE CON 500G,ENVASE CON 500 G,True
871,010.000.0871.00,ALIBOUR Polvo Sulfato de  cobre  177 mg/g  Sulfato de  zinc619.5 mg/g  alcanfor 26.5 mg/g 12 sobres con 2.2 g,Envase con 12 sobres con 2.2 g. ,False
3663,010.000.3663.00,ALMIDÓN Solución inyectable al 10% 10 g/100 ml 250 ml,Envase con 250 ml. ,False
2503,010.000.2503.00,ALOPURINOL Tableta 100 mg 20 tabletas,Envase con 20 tabletas. ,False
2503.01,010.000.2503.01,ALOPURINOL Tableta 100 mg 50 tabletas,Envase con 50 tabletas. ,False
3451,010.000.3451.00,ALOPURINOL Tableta 300 mg 20 tabletas,Envase con 20 tabletas. ,False
2500,040.000.2500.00,ALPRAZOLAM Tableta 0.25 mg 30 tabletas,Envase con 30 tabletas.,False
2499,040.000.2499.00,ALPRAZOLAM Tableta 2 mg 30 tabletas,Envase con 30 tabletas. ,False
5107,010.000.5107.00,ALTEPLASA.  ACTIVADOR TISULAR DEL PLASMINOGENO HUMANO. SOLUCION INYECTABLE. CADA FRASCO AMPULA  CON LIOFILIZADO CONTIENE: ALTEPLASA  50 MG. ENVASE  CON DOS FRASCOS AMPULA CON LIOFILIZADO. DOS FRASCOS AMPULA CON DISOLVENTE Y EQUIPO ESTERILIZADO PARA S,PIEZA,False
1224,010.000.1224.00,ALUMINIO Y MAGNESIO Suspensión  oral Al 3.7mg 4 g ó  8.9g/ 100 ml Envase con 240 ml,Envase con 240 ml. y dosificador. ,False
1223,010.000.1223.00,ALUMINIO Y MAGNESIO Tableta  masticable Al 200 mg 200 ó  447.3mg 50 tabletas,Envase con 50 tabletas masticables. ,False
2462,010.000.2462.00,AMBROXOL Comprimido 30 mg 20 comprimidos,Envase con 20 comprimidos. ,False
2463,010.000.2463.00,AMBROXOL Solución 300 mg/ 100 ml Envase con 120 ml,Envase con 120 ml. y dosificador. ,False
2012,010.000.2012.00,AMFORTERICINA B solución inyectable 50 mg Frasco ámpula,ENVASE,False
1957,010.000.1957.00,AMIKACINA solución inyectable 100 mg/ 2 ml 1 ampolleta  o frasco ámpula,Envase con 1 ampolleta o frasco ámpula con 2 ml. ,False
1957.01,010.000.1957.01,AMIKACINA solución inyectable 100 mg/ 2 ml 2 ampolletas  o frasco ámpula,Envase con 2 ampolletas o frasco ámpula con 2 ml ,False
1956,010.000.1956.00,AMIKACINA solución inyectable 500 mg/ 2 ml 1 ampolleta  o frasco ámpula,Envase con 1 ampolleta o frasco ámpula con 2 ml. ,False
1956.01,010.000.1956.01,AMIKACINA solución inyectable 500 mg/ 2 ml 2 ampolletas  o frasco ámpula,Envase con 2 ampolletas o frasco ámpula con 2 ml. ,False
2737,010.000.2737.00,"AMINOACIDOS CON ELECTROLITOS SOLUCION INYECTABLE, AMINOACIDOS CON ELECTROLITOS  AL 8.5% ENVASE  CON 500 ML",ENVASE,False
5212.01,010.000.5212.01,"AMINOACIDOS CRISTALINOS SOLUCION INYECTABLE, AMINOACIDOS CRISTALINOS  10%, ENVASE CON 500 ML",PIEZA,False
5212,010.000.5212.00,"AMINOACIDOS CRISTALINOS SOLUCION INYECTABLE, AMINOACIDOS CRISTALINOS 10%, ENVASE CON 250 ML",PIEZA,False
2168,010.000.2168.00,"AMINOÁCIDOS ESENCIALES SIN ELECTROLITOS SOLUCIÓN INYECTABLE  AMINOÁCIDOS AL 8.5 % ENVASE DE  1 000 ML QUE CONTIENE 500 ML DE AMINOÁCIDOS ESENCIALES, CON EQUIPO DE ADMINISTRACIÓN.",ENVASE,False
426,010.000.0426.00,AMINOFILINA Solución  inyectable 250 mg/ 10 ml 5 ampolletas de  10 ml,Envase con 5 ampolletas de 10 ml. ,False
4107,010.000.4107.00,AMIODARONA Solución  inyectable 150 mg 6 ampolletas con 3 ml, Envase con 6 ampolletas de 3 ml. ,False
4110,010.000.4110.00,AMIODARONA Tableta 200 mg 20 tabletas,Envase con 20 tabletas. ,False
3305,040.000.3305.00,AMITRIPTILINA Tableta 25 mg 20 tabletas,Envase con 20 tabletas. ,False
2111.01,010.000.2111.01,AMLODIPINO Tableta o  cápsula 5 mg 30 tabletas,Envase con 30 tabletas o cápsulas.,False
2129,010.000.2129.00,AMOXICILINA- ACIDO CLAVULÁNICO Suspensión 125 mg/31.25  mg/ 5 ml Envase con 60 ml,Envase con 60 ml. Cada 5 ml. con 125 mg. de amoxicilina y 31.25 mg. ácido clavulánico. ,False
2230,010.000.2230.00,AMOXICILINA- ACIDO CLAVULÁNICO Tableta 500 mg/125 mg 12 tabletas,Envase con 12 tabletas. ,False
2230.01,010.000.2230.01,AMOXICILINA- ACIDO CLAVULÁNICO Tableta 500 mg/125 mg 16 tabletas,Envase con 16 tabletas.,False
2128,010.000.2128.00,AMOXICILINA Cápsula 500 mg 12 cápsulas,Envase con 12 cápsulas. ,False
2128.01,010.000.2128.01,AMOXICILINA Cápsula 500 mg 15 cápsulas,Envase con 15 cápsulas. ,False
2127,010.000.2127.00,AMOXICILINA Suspensión 500 mg/ 5 ml Envase para 75 ml, Envase con polvo para 75 ml. (500 mg/5 ml). ,False
2130,010.000.2130.00,AMOXICILINA­ACIDO CLAVULÁNICO Solución inyectable 500 mg/100 mg Envase con un frasco ámpula con 10 ml,Envase con un frasco ámpula con o sin 10 ml. de diluyente. ,False
1931,010.000.1931.00,AMPICILINA Solución  inyectable 500 mg/2 ml Frasco ámpula y  diluyente con 2 ml,Envase con un frasco ámpula y 2 ml. de diluyente. ,False
1930,010.000.1930.00,AMPICILINA Suspensión 250 mg/ 5 ml Envase para 60 ml,Envase con polvo para 60 ml. y dosificador. ,False
1929,010.000.1929.00,AMPICILINA Tableta  o cápsula 500 mg 20 tabletas o cápsulas,Envase con 20 tabletas o cápsulas. ,False
5449,010.000.5449.00,"ANASTROZOL DE 1 MG, TABLETA, ENVASE  CON 28 TABLETAS.",PIEZA,False
SC-0000138,SC-0000138,ANESTÉSICO TÓPICO (BENZOCAÍNA AL 20%) POMADA CADA 100 GRS. CONTIENE 20 GRS. DE BENZOCAINA Y UN VEHICULO ENVASE,ENVACE,True
SC-0000139,SC-0000139,ANTIFAZ NEONATAL PIEZA,PIEZA,True
600820021,060.082.0021,APLICADORES CON ALGODÓN DE PLASTICOS. ENVASE CON 150 A 750 PIEZAS.   ,ENVASE CON 150 A 750 PIEZAS.      ,True
600820104,060.082.0104,APLICADORES DE MADERA CON ALGODÓN.  ENVASE CON 150 A 750 PIEZAS.,CAJA CON 100 PIEZAS,True
600820054,060.082.0054,APLICADORES SIN ALGODÓN DE MADERA. ENVASE CON 150 A 750 PIEZAS,ENVASE CON 150 A 750 PIEZAS.      ,True
600880108,060.088.0108,APOSITO COMBINADOS. D/CELULOSA CON TELA NO TEJIDA. MEDIDAS: 20X13 CM. ENVASE CON 150 PIEZAS,ENVASE CON 150 PIEZAS         ,True
600880058,060.088.0058,APOSITO COMBINADOS. DE CELULOSA CON TELA NO TEJIDA. MEDIDAS: 20 X 8 CM. ENVASE CON 200 PIEZAS ,ENVASE CON 200 PIEZAS   ,True
600880017,060.088.0017,APOSITO TRANSPARANTE MICROPOROSO AUTOADHERIBLE ESTÈRIL Y DESECHABLE. MEDIDAS 7.0 A 8.5 X 5.08 A 6.0 CM. ENVASE CON 50 PIEZAS.,ENVASE CON 50 PIEZAS.                        ,True
600880025,060.088.0025,APOSITO TRANSPARENTE MICROPOROSO AUTOADHERIBLE. TRATAMIENTO DE HERIDAS Y CATETERES CENTRALES . ESTERIL Y DESECHABLE MEDIDAS 10.0 A 10.16 X 12.0 A 14.0 CM PIEZA. ENVASE CON 50 PIEZAS.,PIEZA,True
4442,010.000.4442.00,"APREPITANT DE 125 MG - 80 MG, CÁPSULA,ENVASE CON UNA CÁPSULA DE 125 MG Y 2 CÁPSULAS DE 80 MG.",PIEZA,False
4490,010.000.4490.00,ARIPIPRAZOL Tableta 15 mg 20 tabletas,Envase con 20 tabletas. ,False
4491,010.000.4491.00,ARIPIPRAZOL Tableta 20 mg 10 tabletas,Envase con 10 tabletas. ,False
4492,010.000.4492.00,ARIPIPRAZOL Tableta 30 mg 10 tabletas,Envase con 10 tabletas. ,False
SC-0000123,SC-0000123,ASA DIATERMICA PARA CONIZACIÓN. MEDIDA 20X8 MM. VÁSTAGO LARGO DE 15 CM DE LONGITUD. PIEZA,PIEZA,True
SC-0000122,SC-0000122,ASA QUIRÚRGICA ENVASE CON 100 PIEZAS,ENVACE DE 100 PIEZAS,True
SC-0000121,SC-0000121,ASPIRADOR DE SUCCIÓN RAPIDA TORÁCICA ENVASE CON 100 PIEZAS,ENVACE DE 100 PIEZAS,True
3307,010.000.3307.00,ATOMOXETINA Cápsula 10 mg 14 cápsulas,Envase con 14 cápsulas.,False
3308,010.000.3308.00,ATOMOXETINA Cápsula 40 mg 14 cápsulas,Envase con 14 cápsulas. ,False
3309,010.000.3309.00,ATOMOXETINA Cápsula 60 mg 14 cápsulas,Envase con 14 cápsulas. ,False
5106,010.000.5106.00,ATORVASTATINA Tableta 20 mg 10 tabletas,Envase con 10 tabletas. ,False
1546,010.000.1546.00,"ATOSIBÁN DE 37.5 MG/5.0 ML, SOLUCIÓN  INYECTABLE, ENVASE CON 5.0 ML.",ENVASE CON 5.0 ML.,False
1545,010.000.1545.00,"ATOSIBÁN DE 6.75 MG/0.9 ML, SOLUCIÓN  INYECTABLE, ENVASE CON 0.9 ML.",ENVASE CON 0.9 ML.,False
204,010.000.0204.00,ATROPINA Solución  inyectable 1 mg/ml 50 ampolletas con 1 ml,Envase con 50 ampolletas con 1 ml. ,False
2872,010.000.2872.00,ATROPINA Solución  oftálmica 10 mg/ ml Gotero integral con 15 ml,Envase con gotero integral con 15 ml. ,False
2873,010.000.2873.00,ATROPINA Ungüento oftálmico 10 mg/g Envase con 3 g,Envase con 3 g. ,False
3461,010.000.3461.00,AZATIOPRINA Tableta 50 mg 50 tabletas,Envase con 50 tabletas. ,False
SC-0000059,SC-0000059,AZITROMICINA SUSPENSIÓN DE 200 MG/5 ML,PIEZA,False
1969.01,010.000.1969.01,AZITROMICINA Tableta 500 mg 4 tabletas,Envase con 4 tabletas. ,False
601000011,060.100.0011,"BABEROS DE TELA NO TEJIDA DE RAYÓN, ANATOMICO, AUTOJUSTABLE, DESECHABLE, TAMAÑO ADULTO. PIEZA.",PIEZA.,True
801.01,010.000.0801.01,BAÑO COLOIDE Polvo Harina de soya  965 mg/g  Polividona  20 mg/g Dos sobres con 90 g,Envase con dos sobres individuales de 90 g. ,False
801,010.000.0801.00,BAÑO COLOIDE Polvo Harina de soya  965 mg/g  Polividona  20 mg/g Un sobre con 90 g,Envase con uno sobre individual de 90 g. ,False
601110208,060.111.0208,BARNICES DE COPAL. PARA REVESTIMIENTO DE CAVIDADES. FRASCO CON 15ML Y FRASCO CON DISOLVENTE DE 15 ML. JUEGO.,JUEGO.,True
602310674,060.231.0674,"BATA QUIRÚRGICA CON PUÑOS AJUSTABLES Y REFUERZO EN MANGAS Y PECHO. TELA NO TEJIDA DE POLIPROPILENO, IMPERMEABLE A LA PENETRACIÓN DE LÍQUIDOS Y FLUIDOS; ANTIESTÁTICA Y RESISTENTE A LA TENSIÓN. ESTÉRIL Y DESECHABLE. TAMAÑO: CHICO. PIEZA",PAQUETE,True
602310658,060.231.0658,"BATA QUIRÚRGICA CON PUÑOS AJUSTABLES Y REFUERZO EN MANGAS Y PECHO. TELA NO TEJIDA DE POLIPROPILENO, IMPERMEABLE A LA PENETRACIÓN DE LÍQUIDOS Y FLUIDOS; ANTIESTÁTICA Y RESISTENTE A LA TENSIÓN. ESTÉRIL Y DESECHABLE. TAMAÑO: EXTRA GRANDE. PIEZA",PIEZA,True
602310641,060.231.0641,"BATA QUIRÚRGICA CON PUÑOS AJUSTABLES Y REFUERZO EN MANGAS Y PECHO. TELA NO TEJIDA DE POLIPROPILENO, IMPERMEABLE A LA PENETRACIÓN DE LÍQUIDOS Y FLUIDOS; ANTIESTÁTICA Y RESISTENTE A LA TENSIÓN. ESTÉRIL Y DESECHABLE. TAMAÑO: GRANDE. PIEZA",PAQUETE,True
602310666,060.231.0666,"BATA QUIRÚRGICA CON PUÑOS AJUSTABLES Y REFUERZO EN MANGAS Y PECHO. TELA NO TEJIDA DE POLIPROPILENO, IMPERMEABLE A LA PENETRACIÓN DE LÍQUIDOS Y FLUIDOS; ANTIESTÁTICA Y RESISTENTE A LA TENSIÓN. ESTÉRIL Y DESECHABLE. TAMAÑO: MEDIANA. PIEZA",PAQUETE,True
477,010.000.0477.00,"BECLOMETASONA,  DIPROPIONATO DE Suspensión en aerosol 10 mg/inhalador Envase con inhalador con 200 dosis de50  microgramo",Envase con inhalador con 200 dosis de 50 μg. ,False
2508,010.000.2508.00,"BECLOMETASONA, DIPROPIONATO DE Suspensión en aerosol 50 mg/inhalador Inhalador con 200 dosis de 250 microgramo",Envase con inhalador con 200 dosis de 250 μg. ,False
861,010.000.0861.00,BENCILO Emulsión  dérmica 300 mg/ml Envase con 120 ml,Envase con 120 ml. ,False
1938,010.000.1938.00,BENCILPENICILINA  BENZATÍNICA COMPUESTA Suspensión  inyectable Benzatínica  600 000 UI Procaínica  300 000 UI Cristalina  300 000 UI Frasco ámpula y  diluyente con 3 ml,Envase con un frasco ámpula y diluyente con 3 ml. ,False
1923,010.000.1923.00,BENCILPENICILINA  PROCAÍNICA CON  BENCILPENICILINA CRISTALINA Suspensión  inyectable 300 000 UI / 100 000 UI Frasco ámpula y  diluyente con 2 ml,Envase con un frasco ámpula y 2 ml de diluyente. ,False
1924,010.000.1924.00,BENCILPENICILINA  PROCAÍNICA CON  BENCILPENICILINA CRISTALINA Suspensión  inyectable 600 000 UI/ 200 000 UI Frasco ámpula  y diluyente con 2 ml,Envase con un frasco ámpula y 2 ml. de diluyente. ,False
1921,010.000.1921.00,BENCILPENICILINA  SÓDICA CRISTALINA Solución  inyectable 1 000 000 UI Frasco ámpula  con o sin 2 ml de  diluyente,"Envase con un frasco ámpula, con o sin 2 ml. de diluyente. ",False
1933,010.000.1933.00,BENCILPENICILINA  SÓDICA CRISTALINA Solución  inyectable 5 000 000 UI Frasco ámpula,Envase con un frasco ámpula. ,False
2510,010.000.2510.00,BENCILPENICILINA PROCAÍNICA Suspensión inyectable 2 400 000 UI Frasco ámpula con diluyente,Envase con un frasco ámpula con diluyente. ,False
71,010.000.0071.00,"BENZATINA BENCILPENICILINA DE 600 000 UI, SUSPENSIÓN INYECTABLE, ENVASE CON UN FRASCO ÁMPULA Y 5 ML DE DILUYENTE.",ENVASE CON UN FRASCO ÁMPULA Y 5 ML DE DILUYENTE.,False
1925,010.000.1925.00,BENZATINA BENCILPENICILINA Suspensión  inyectable 1 200 000 UI Frasco ámpula  y diluyente con 5 ml,Envase con un frasco ámpula y 5 ml. de diluyente. ,False
822,010.000.0822.00,BENZOILO Loción dérmica o  gel dérmico 5 g/100 ml  o 5 g/ 100 g Envase con 30 ml,Envase con 30 ml. ,False
822.01,010.000.0822.01,BENZOILO Loción dérmica o  gel dérmico 5 g/100 ml  o 5 g/ 100 g Envase con 50 ml,Envase con 50 ml. ,False
822.02,010.000.0822.02,BENZOILO Loción dérmica o  gel dérmico 5 g/100 ml  o 5 g/ 100 g Envase con 60 ml,Peróxido de benzoilo 5 g. Envase con 60 g. ,False
2433,010.000.2433.00,BENZONATATO PERLA CADA PERLA CONTIENE BENZONATATO 100 MG,ENVASE CON 20 PERLAS,False
5331,010.000.5331.00,BERACTANT (FOSFOLIPIDOS DE PULMON DE ORIGEN BOVINO) SUSPENSION INYECTABLE. CADA FASCO AMPULA CONTIENE 25 MG DE BERACTANT. FRASCO AMPULA DE 8 ML,FRASCO AMPULA DE 8 ML,False
4061,010.000.4061.00,BESILATO DE CISATRACURIO SOLUCIÓN INYECTABLE 10 MG / 5 ML. CAJA CON 1 AMPOLLETA DE 5 ML,Envase con 1 ampolleta con 5 ml. ,False
2141,010.000.2141.00,BETAMETASONA Solución  inyectable 4 mg / ml Ampolleta o frasco  ámpula  con 1 ml,Envase con un frasco ámpula o una ampolleta con 1 ml. ,False
2119,010.000.2119.00,BETAMETASONA Ungüento 50 mg/100 g Envase con 30 g,Envase con 30 g. ,False
655,010.000.0655.00,BEZAFIBRATO Tableta 200 mg 30 tabletas,Envase con 30 tabletas. ,False
